"id","Y","AlsK","AlsI","AlsE","AlsA","AlsB","AlsC","AlsGa","AlsGb","AlsGc","AlsG2a","AlsG2b","AlsG2c","AlsT","AlsR","AlsR2","AlsR3"
"6666666.201629","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"401473.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1150423.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"871562.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"473819.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"561180.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1690.84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1694.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"391904.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1682.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1682.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1682.49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1682.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1682.24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1678.111","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1682.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1682.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1682.19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1682.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1682.16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1682.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1682.15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1682.32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1457183.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1150460.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1679.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.147","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.167","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1679.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1679.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.186","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.264","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.263","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.275","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1350473.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.311","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.279","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.378","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.288","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1679.23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.277","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1298922.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.171","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.145","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1350471.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.174","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.173","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.304","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.296","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.303","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1350472.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.280","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
